   TEMP	   DEWP	  SLP  	  STP  	 VISIB	  WSDP	 MXSPD	  GUST	   MAX  	  MIN  	PRCP  	SNDP 	 FRSHTT
82.5	73	1010.5	1008.8	2.9	0.9	8	999.9	91	77	99.99	999.9	16
83	74	1010.6	1008.9	3.1	3.7	13	999.9	91	76.6	0.03	999.9	16
83.4	74.8	9999.9	9999.9	2.9	5.9	15	25.1	91.2	77	0	999.9	0
83.7	73.7	1009.6	1008	3.8	4.5	15	22	91.8	77	0	999.9	0
83.2	73.3	9999.9	9999.9	2.8	4	13	999.9	93.2	76.8	0	999.9	32
80.2	71.7	9999.9	9999.9	2.2	1.2	9.9	999.9	95.4	74.7	0	999.9	32
84.5	73.1	9999.9	9999.9	2.6	2.3	12	999.9	94.5	70.2	0	999.9	0
82	75.9	1005.9	1004.1	3.4	3.6	15	22	88.2	77.7	0.47	999.9	18
83.6	75.2	1006.3	1004.7	4	3.3	8	16.9	90.7	78.6	0.01	999.9	0
85.8	75.9	1008.1	1006.4	5.1	6.3	15.9	16.9	92.1	78.8	0	999.9	0
86.5	76.5	9999.9	9999.9	3.9	6.3	13	20	94.1	78.8	0	999.9	0
85.4	76.7	9999.9	9999.9	3.7	6.8	12	22	95	78.8	0	999.9	0
85.4	76	9999.9	9999.9	4.1	5.9	9.9	25.1	94.3	78.1	0	999.9	0
85.8	75.9	9999.9	9999.9	5.2	6.9	13	22	94.3	79	0	999.9	0
85.4	76.5	9999.9	9999.9	4.3	3.9	12	20	95.4	79.9	0	999.9	0
88	76.2	9999.9	9999.9	5.7	8.2	15	25.1	96.8	79.2	0	999.9	0
85.2	77	1005.5	1003.8	4.6	5.9	15	999.9	96.1	78.4	0	999.9	0
86.2	76.5	9999.9	9999.9	4.9	7.2	14	20	96.8	78.1	0	999.9	0
87.4	77	9999.9	9999.9	3.7	7.4	15	20	98.8	80.2	0	999.9	0
87.5	78.3	9999.9	9999.9	4.2	7.5	14	22	96.8	81.3	0	999.9	0
88.5	78	9999.9	9999.9	3.6	5.7	12	22	100.4	81.1	0	999.9	0
89	76.7	9999.9	9999.9	4.8	5.6	15	22	100.4	81.3	0	999.9	0
86.7	77.4	1005.4	1003.7	4.6	4.8	14	999.9	96.8	82	0	999.9	0
87.2	77.3	1006.3	1004.6	4.4	6.4	12	22	95	81.9	0	999.9	0
83.7	76.8	1007.4	1005.7	3.8	5.1	12	18.1	93.7	78.8	0	999.9	0
85.2	75	1009.6	1007.9	4.4	4.4	14	999.9	93.9	77.4	0	999.9	0
84.6	76.2	9999.9	9999.9	3.9	3.7	9.9	999.9	95.5	78.1	0	999.9	0
88	74.9	9999.9	9999.9	4.5	7.2	12	20	97.7	77.5	0	999.9	0
87.9	77.2	9999.9	9999.9	4.6	3.6	13	15.9	98.6	79.9	0	999.9	0
88.4	77.8	9999.9	9999.9	4.8	5.3	12	20	99.1	81.1	0	999.9	0
86.9	79.7	9999.9	9999.9	4.2	5.5	12	18.1	98.6	82	0.01	999.9	0
89.2	73.8	9999.9	9999.9	6.7	5.4	15	20	106.5	79.3	0	999.9	0
88.1	73.6	9999.9	9999.9	4.3	4.8	14	20	104	78.4	0	999.9	0
90.7	76.9	9999.9	9999.9	4.4	8.2	14	23.9	105.8	81.7	0	999.9	0
89.7	76.2	1002.8	1001.1	4.3	8	13	22	105.8	82	0	999.9	0
89.8	75.7	1005	1003.3	4	8.3	15	20	106.5	83.1	0	999.9	0
89.7	78.1	9999.9	9999.9	4.4	10	14	20	100.4	83.1	0	999.9	0
88.4	79.5	1005.6	1003.9	4.3	6.7	16.9	26	100.4	80.6	0	999.9	0
87.6	79	1004.9	1003.2	4.3	9.2	15	20	99	82.4	0	999.9	0
87.9	79.4	1007	1005.3	4.9	6.6	12	25.1	97.2	76.6	99.99	999.9	18
84.5	70.5	1007.1	1005.4	5.7	5.5	14	999.9	97.3	75.6	0.02	999.9	0
87.6	77.5	1007.6	1005.9	4	5.9	15.9	22	97.2	78.8	0	999.9	0
85.9	76	1006.9	1005.2	4.4	3	9.9	999.9	99	80.6	0	999.9	0
89.9	73.8	9999.9	9999.9	5	5	14	999.9	98.2	80.1	0	999.9	0
84.4	77.9	1007.4	1005.7	3.5	0.6	15	25.1	96.3	78.8	0.43	999.9	18
87.4	78.4	1006.8	1005.1	3.7	4.5	12	22	95	80.6	0	999.9	0
86.4	77.9	1006.3	1004.6	4	4.8	14	23.9	97.9	80.8	0	999.9	2
88.6	77.2	1005.1	1003.4	4.3	5.1	14	23.9	104	82	0	999.9	0
88.7	74.3	1004.6	1002.9	4.4	4.4	15	999.9	106.9	81.3	0	999.9	0
92.8	74.7	1004.2	1002.5	5.1	5.8	15	999.9	108.3	81.7	0	999.9	0
93.9	72.7	9999.9	9999.9	5.2	6.1	13	999.9	108.7	82.4	0	999.9	0
93.7	72.6	1004	1002.3	4.9	8.6	21	22	108.5	83.8	0	999.9	0
93.2	72.1	1005.3	1003.6	4.8	7.6	15	20	105.8	77.7	0.01	999.9	18
88.8	74	1004.8	1003.1	5.2	5.9	12	22	102.9	77.2	0.2	999.9	0
89.1	71.7	9999.9	9999.9	4.7	8.4	22	999.9	103.1	81.5	0.04	999.9	0
89.8	69.6	1004.5	1002.8	4.7	6.2	14	20	105.8	82	0	999.9	0
89.7	71	9999.9	9999.9	4.8	8	15.9	20	103.6	80.6	0.03	999.9	0
90.2	72.5	1003.6	1001.9	4.5	7.9	15.9	20	104.4	82.4	0	999.9	0
90.5	72.9	1004.2	1002.5	4.5	8.7	15.9	20	105.6	83.8	0	999.9	0
90.2	75.6	1004.4	1002.7	4.7	7.3	14	999.9	101.5	83.8	0	999.9	0
90	75.7	1004.4	1002.7	4.5	7.1	19	999.9	100.9	82.4	0	999.9	0
88.3	73.5	1004.7	1003	5.4	6.3	14	20	98.8	78.1	0	999.9	0
92	76	1003.7	1002	4.9	5.7	18.1	20	101.8	83.3	0	999.9	0
89.5	75	1004	1002.3	8.3	9.6	15	22	101.1	81.3	0	999.9	0
89.4	74.3	1004.8	1003.1	5	8	14	20	102.2	79.9	99.99	999.9	16
89.6	75	1005.9	1004.2	4.4	5.5	14	22	102.2	81.3	0	999.9	0
89.1	73.3	1005.2	1003.5	4.8	8.9	20	22	102.7	84.2	0	999.9	0
87.5	73.1	1003.8	1002.1	4.9	8.5	15	999.9	96.1	82.4	0	999.9	0
86.2	72.3	1003.2	1001.5	4.5	4.7	15	999.9	99.9	80.6	99.99	999.9	16
85.1	72.6	1001.8	1000.1	4.6	5.9	12	999.9	96.4	78.8	0.04	999.9	0
85.6	73.1	1000.5	998.8	4.2	7.3	12	999.9	94.8	78.8	0	999.9	16
84.8	72.3	1000	998.3	4.1	3.6	9.9	999.9	90.9	80.6	0.04	999.9	16
85.8	70.7	998.6	996.9	4.5	5.6	9.9	999.9	92.5	80.6	0	999.9	16
85.6	71	999.4	9999.9	4.7	7.1	12	20	92.8	81.3	0	999.9	0
86	71.1	9999.9	9999.9	4.8	9.7	14	25.1	95.5	81.5	0	999.9	0
88.6	72.1	9999.9	9999.9	4.6	9.5	15.9	25.1	99.1	80.6	0	999.9	0
88.5	73.2	9999.9	9999.9	4.9	8.2	15.9	22	101.8	81.5	0	999.9	0
89.7	71.2	9999.9	9999.9	5.4	9.1	15.9	26	103.5	82.8	0	999.9	0
89.6	72.9	1004.4	1002.7	4.8	7.4	12	20	100.9	82.4	0	999.9	0
85.3	72.9	1006.3	1004.6	4.1	4	12	22	97.5	78.1	0.31	999.9	16
87	72.1	1006.3	1004.6	4.8	4.4	15	999.9	99.7	81	0	999.9	0
90.3	69.2	1006.9	1005.2	4.6	5.6	9.9	20	102.7	81.5	0	999.9	16
87.9	72.6	9999.9	9999.9	4.9	7.8	12	20	102.6	82.4	0	999.9	0
89.8	69.6	9999.9	9999.9	5.4	8.7	14	999.9	100.8	82	0	999.9	0
89.6	71	9999.9	9999.9	5.1	8.3	15	20	102.9	81.7	0	999.9	0
88.9	69.2	9999.9	9999.9	5.2	7.5	15	20	99.3	82.4	0	999.9	0
83	74.4	1002.2	1000.6	3.9	4.4	12	999.9	100.8	77	1.57	999.9	16
85.3	74.3	1002.8	1001.1	4.3	5.1	12	999.9	98.2	77	0	999.9	16
83.7	75.2	9999.9	9999.9	2.9	1.7	8	999.9	91.4	77	0.04	999.9	18
85.7	74.1	1005.6	1003.8	4.5	4.5	9.9	999.9	97.3	74.8	0.04	999.9	18
81.5	75.3	9999.9	9999.9	3.6	1.7	6	999.9	86	74.1	1.77	999.9	16
86.4	72.2	1005.3	1003.6	5	3.8	12	999.9	96.8	79.2	0	999.9	0
88.5	72.2	1004.8	1003.1	5	5.7	13	999.9	98.6	80.6	0	999.9	0
89.6	71.8	9999.9	9999.9	5.4	7	9.9	999.9	99.3	81.3	0	999.9	0
87.5	72.5	9999.9	9999.9	5.6	6.6	15	22	95.7	80.6	99.99	999.9	16
82.9	72.7	1004.9	1003.2	4.5	4.1	12	999.9	90	75.2	0.01	999.9	18
82.6	72.8	9999.9	9999.9	3.8	3.2	9.9	999.9	88.5	74.5	0.39	999.9	16
86.6	70.8	1002.5	1000.8	4.4	5.2	15	20	93.9	78.1	0.02	999.9	0
87	72.9	1002.9	1001.2	4.8	5.4	14	999.9	94.5	79.5	0	999.9	16
85	74	1002.9	1001.1	3.7	4.7	12	22	93.6	76.6	0.02	999.9	18
79.9	75.1	9999.9	9999.9	3.2	2.3	7	999.9	82.4	75.2	0.35	999.9	16
79	74.2	1002.1	1000.4	3.5	4.5	12	999.9	82.4	74.1	0.28	999.9	16
84.3	73.5	1001.7	1000	4.8	8	14	20	89.8	77.2	0.51	999.9	0
84.3	73.1	1002.4	1000.7	4.9	5.7	9.9	999.9	90.1	78.6	0	999.9	16
84.3	74.2	1001.9	1000.2	3.8	5	12	999.9	95	77	0.24	999.9	16
86.4	72.5	1002.4	1000.7	4.4	7.6	15	25.1	95.9	79.9	0	999.9	16
87.1	72.1	1002.9	1001.2	4.6	8.8	15	25.1	96.8	75.2	0.02	999.9	0
90	71	1002.2	1000.5	4.7	8.9	20	999.9	97.9	80.2	0	999.9	0
83.1	70.7	1002.5	1000.8	3.2	5.5	12	20	89.2	77	0.02	999.9	16
88.6	70.2	1002.6	1000.9	3.9	7	15	20	96.8	79.2	0.01	999.9	0
86	70.1	9999.9	9999.9	4.1	8.7	15	20	92.3	79.5	0.01	999.9	16
87.2	71.7	9999.9	9999.9	4.6	6.1	15	999.9	97.2	77.7	0	999.9	0
87.1	71.5	1003.7	1001.9	5	8.1	14	20	99.7	79.9	0.04	999.9	0
87.5	72.6	1004.5	1002.8	4.1	6.7	15	20	99.1	80.2	0.04	999.9	16
86.6	72.5	1004.4	1002.7	4.2	7.2	16.9	22	98.1	79.9	0.03	999.9	16
87.6	72.3	1003.5	1001.8	4.4	4.5	18.1	999.9	99.3	77.9	0.16	999.9	16
88.9	71.4	1002.7	1001	4.9	8.9	18.1	25.1	99.7	78.8	0	999.9	0
84	74	1005.5	1003.7	3.7	7.7	23.3	42.7	97.2	75.6	0.16	999.9	16
83.9	74.8	1006.4	1004.7	4.4	8	19.4	999.9	95.9	74.3	0.67	999.9	0
82.4	74.4	1007.4	1005.7	4.2	4.1	14	999.9	91.2	77	0	999.9	0
84.9	72.5	1006.2	1004.5	4	4.9	14	20	95.7	76.6	0	999.9	0
83.5	73.6	1005.7	1004	3.2	8.5	25.1	35	97.9	73	99.99	999.9	16
80.6	72.8	1006.5	1004.7	3.7	6.2	13	20	85.5	72	0.94	999.9	0
86.8	73.2	1006	1004.3	4.6	5.9	15	999.9	97.2	77.7	0	999.9	0
87.6	74.8	1003.9	1002.2	4.9	5.5	12	20	98.6	79.7	0	999.9	0
86.3	71.4	1004.7	1003	4.8	7	14	20	98.6	76.6	99.99	999.9	18
83.8	76.2	1004.8	1003.1	4.3	3.6	12	25.1	95.2	73.2	1.54	999.9	16
82.7	74.2	1006.1	1004.4	4.4	1.9	8	999.9	94.6	77	0	999.9	0
84.5	74.4	1005.2	1003.5	4.7	5.1	15	25.1	93.6	78.1	0.12	999.9	0
85.2	75.6	1005.2	1003.5	4.8	7	16.9	22	94.6	78.8	0	999.9	0
83.4	75.7	9999.9	9999.9	4.7	4.6	14	999.9	95	75.2	0	999.9	0
85.8	75.3	1005.4	1003.7	4.6	7.2	15	22.9	93.6	77	0	999.9	0
86.3	75.2	1005.7	1004	5.1	6.4	15.9	26	93.6	78.8	0	999.9	0
84.5	75.9	1005.3	1003.6	4.6	6.4	16.9	999.9	93	79.9	0	999.9	0
83.8	76	1004.5	1002.8	3.7	4.9	12	999.9	94.6	74.8	0.04	999.9	16
81.8	74.4	1005.2	1003.6	4.8	4.3	12	999.9	91.8	75.6	0.63	999.9	16
83.4	73.9	1004.4	1002.7	4.1	5.4	9.9	20	93.7	74.8	0	999.9	0
81.5	73.2	1002.5	1000.8	4.9	7.4	15	23.9	88.7	75.6	0.12	999.9	16
82.4	71.7	1002.6	1000.8	4.4	5.4	15	999.9	89.6	73.9	0.35	999.9	16
84	73.7	1004.1	1002.4	4.8	5.7	15	25.1	93	78.1	0	999.9	0
85.6	72.1	9999.9	9999.9	5.1	7.6	14	20	92.1	78.1	0	999.9	0
84.8	76.4	1008.8	1007	4.5	6	15	999.9	94.6	78.8	0	999.9	2
81.9	75.6	1008	1006.3	4.2	6.5	12	20	93.2	74.3	0.35	999.9	16
81.8	75.1	1008	1006.3	4.4	4	14	999.9	89.6	75.2	0.16	999.9	16
83.4	73.2	1006.8	1005.1	4.9	6.7	15	25.1	96.4	78.4	0	999.9	0
84.7	74	1005.5	1003.8	8.9	5.4	20	999.9	95.4	76.3	0	999.9	16
81.2	73.2	9999.9	9999.9	5.2	9	15	999.9	93	75.2	0	999.9	16
83.4	71.9	1005.5	1003.8	3.7	8.7	14	999.9	92.1	75.7	0.12	999.9	16
83.2	71.9	1005.4	1003.7	4.6	7.2	15	25.1	93.6	77	0	999.9	18
81.3	74.7	1002.4	1000.7	3	6.2	12	999.9	88.2	75.9	0.51	999.9	16
78.7	73.7	1000.9	999.2	3.5	6	9.9	999.9	83.1	75.2	0.08	999.9	16
82.9	72.8	1000.7	999	4	7.5	18.1	28	90.3	74.5	0.2	999.9	0
84.9	72.3	999.9	998.2	5.2	9.3	15	25.1	95	77.9	0	999.9	16
85.7	72.8	1001.9	1000.2	4.8	6.8	15.9	20	94.3	79.5	0	999.9	16
84.8	74.4	1004.1	1002.5	4.5	4.5	9.9	20	94.5	78.8	0	999.9	0
89.1	71.4	1004.7	1003.7	5.4	6.6	15.9	26	96.1	80.2	0	999.9	16
86.7	72.3	1004.7	1003	4.6	6.1	15	25.1	97.2	79.9	0	999.9	16
84.5	73.2	1005.1	1003.4	4.5	5.1	15	25.1	97.7	78.8	0.16	999.9	2
83.8	72.8	1005.8	1004.1	4.1	3.7	9.9	999.9	91.9	77.7	0	999.9	16
84.8	73.4	1006	1004.3	4.3	5.8	9.9	20	95.5	78.3	0.08	999.9	0
86.6	72.4	1006.1	1004.4	5.2	7	18.1	28	98.2	79.7	0	999.9	0
85.6	70.9	1005	1003.3	4.1	5.8	12	18.1	96.8	78.1	0.2	999.9	16
83.1	73.3	1005.6	1003.9	4.7	6.9	14	23.9	97	74.5	0.03	999.9	16
84.2	73.6	1007	1005.2	4.5	3.5	15	999.9	96.3	74.5	0.51	999.9	16
84.3	73.9	1006.9	1005.2	4.2	5.7	14	20	97.3	77.7	0.01	999.9	0
85.8	74.1	1006.2	1004.5	4.7	5.1	15	15.9	97.3	77.7	0	999.9	0
84.2	75.9	1006.7	1005	4	2.7	12	999.9	94.6	78.8	0.01	999.9	0
85.4	75.2	1007.9	1006.2	4.3	3.3	12	999.9	96.8	76.3	0	999.9	16
81.8	75.5	1009.1	1007.4	3.4	7.1	12	999.9	92.7	73	1.26	999.9	16
86.1	75.5	1007	1005.3	4.9	6.3	12	22	97.2	78.1	0	999.9	0
84.3	74.5	1006.5	1004.8	3.9	5.9	15	18.1	94.6	77.5	0	999.9	0
83.6	74.9	1006	1004.2	3.7	4.7	14	999.9	95.4	78.8	0	999.9	16
83.1	72.2	9999.9	9999.9	4.3	4.9	12	999.9	96.4	76.6	0	999.9	0
86.9	73.9	1005.4	1003.7	5	7.5	12	20	96.4	79.2	0	999.9	0
84.8	75.3	9999.9	9999.9	4.9	7.8	13	22.9	96.8	79.2	0	999.9	2
86	74.7	1005.9	1004.2	4.1	7.3	15	20	99.5	77.4	0	999.9	0
84.8	75	1006.6	1004.9	5.1	6	14	20	94.6	77.5	0	999.9	0
83.3	74.9	1005.1	1003.4	4.7	4.9	9.9	999.9	93.7	77	0.08	999.9	16
82.6	75.4	9999.9	9999.9	3.8	4.5	14	999.9	92.5	76.3	0.08	999.9	0
85	74.8	1005.6	1003.9	4.7	4.2	12	999.9	94.1	76.6	0	999.9	16
82.8	76	1007.9	1006	3.3	3.7	15	999.9	90.9	77.7	0.47	999.9	18
84.2	76.6	1008.7	1007	4.3	7.1	15	999.9	91.4	75.2	0.87	999.9	0
84.2	77.5	1008.4	1006.8	4.4	4.5	9.9	20	91.4	77.9	0.12	999.9	16
83.8	76.6	1008.5	1006.8	4.2	4	14	22	91.4	78.8	0	999.9	16
83	76.6	1007.9	1006.2	4.3	3.5	14	999.9	91	77	0	999.9	16
82.4	77	1008.5	1006.8	4.3	1.9	13	999.9	88.9	76.1	0.91	999.9	2
80.2	76.7	1008.8	1007.2	3.7	0.9	6	999.9	87.1	77.7	0.47	999.9	16
84.1	77.9	1007.7	1006	4.7	4.5	14	999.9	90.9	76.8	0.16	999.9	16
82.8	76.2	1007.3	1005.6	4.4	3.2	9.9	999.9	93.6	77	0	999.9	16
80.1	74.2	1007.5	1005.8	4.1	1.6	13	999.9	93.7	75.9	0.63	999.9	16
81.8	74.7	1007.9	1006.2	4.5	3.7	15	999.9	91.9	75.6	0	999.9	0
82.4	75.3	1008.6	1006.9	4.8	4.1	15	999.9	90.7	75.6	0	999.9	18
82.1	74.5	1008.2	1006.5	4.3	3.7	9.9	999.9	93.2	74.8	0.03	999.9	18
82.1	76.8	1007.9	1006.1	4.2	1.2	8	999.9	92.8	72.5	2.01	999.9	18
81.1	76.4	1008.1	1006.3	4.1	1.9	8	999.9	88.2	74.7	0.24	999.9	18
80	74.8	1008.6	1006.9	4	2.7	9.9	999.9	89.2	74.1	0	999.9	18
79.7	75.7	1009	1007.3	3.2	1.9	6	999.9	87.1	73.4	3.23	999.9	16
80.7	75.7	1007.6	1005.8	8.6	1.3	5.1	999.9	89.4	75.6	0.04	999.9	0
82.1	75.9	1006.4	1004.7	4.6	1.6	9.9	999.9	90	76.3	0.02	999.9	16
81.3	74.6	1008.3	1006.5	4.8	4.7	15	999.9	91.8	76.1	0.01	999.9	0
81.7	74.7	1008.1	1006.4	4.5	1.6	9.9	999.9	93.7	75.9	0	999.9	18
81.5	75.3	1008.1	1006.4	3.7	3	9.9	20	93.9	75.9	0.55	999.9	18
81.5	77.3	1006.4	1004.7	4.3	1.8	9.9	999.9	86.2	75.9	0.08	999.9	16
82.9	76.6	1006.4	1004.7	2.6	2.2	8	999.9	92.3	77.4	0	999.9	0
83.8	74.8	1005.7	1004	3.5	3.2	8	999.9	95	77.9	0	999.9	0
80.2	70.4	1006.4	1004.6	3.1	2.5	12	999.9	84.7	72.7	99.99	999.9	16
79	72.7	9999.9	9999.9	2.9	6.1	12	999.9	87.8	68	0.16	999.9	16
80.4	72	1004.2	1002.5	3.5	2.9	9.9	999.9	89.2	76.3	0	999.9	0
81.5	75.2	1005.5	1003.8	2.7	1.4	6	999.9	90	77	0.08	999.9	0
80.6	77.4	1007.8	1006	3.3	0.8	6	999.9	87.8	77.7	0.02	999.9	16
80.4	76.5	1008.1	1006.3	3.3	2.7	9.9	999.9	87.8	73.4	4.17	999.9	18
82.7	76.8	1007.9	1006.2	2.8	5.6	16.9	999.9	91	77	0.03	999.9	0
81.2	74.3	9999.9	9999.9	3.5	2.7	14	999.9	90.7	75.2	0	999.9	0
80.9	72.6	1009.4	1007.6	2.7	3.8	9.9	20	90.9	72.3	0	999.9	0
79.5	69.7	1009.5	1007.8	3.1	1.4	5.1	999.9	93.9	68.9	0	999.9	0
80.8	69.6	1008.9	1007.1	3	2.3	9.9	999.9	93.7	69.1	0	999.9	0
80.6	69.8	1008.4	1006.6	3.6	1.7	9.9	999.9	91.4	71.8	0	999.9	0
81.3	69.9	1010.5	1008.8	3.2	2.5	8	999.9	95.5	72.3	0	999.9	0
80.2	67	1010.4	1008.6	3.7	1.7	8	999.9	95.5	70.9	0	999.9	0
82.2	67.8	1009.9	1008.1	4	3.3	9.9	999.9	93	70.2	0	999.9	0
80.4	71	1008.7	1007	3.9	2	6	999.9	91.4	74.3	0	999.9	0
79.8	72.9	1009.3	1007.6	3.9	3.1	12	22	90	73.4	0	999.9	16
78.2	75	1010.3	1008.6	3.5	1.8	9.9	18.1	84.4	75.9	0.02	999.9	18
82.2	74.9	1011.7	1009.9	4.2	2.9	8	18.1	89.6	74.1	0.2	999.9	0
82.6	74.2	1013.2	1011.4	3.9	5.1	9.9	20	89.6	76.6	0	999.9	16
80.8	73.5	1010.5	1008.7	3.9	4.5	12	999.9	90.9	75.2	0	999.9	0
80.9	74.3	1009.5	1007.8	3.2	2.6	8	999.9	90.7	74.8	0	999.9	0
81.7	73.3	1010.3	1008.5	3.3	4.9	12	999.9	90	74.5	0	999.9	0
80.7	72	1010.6	1008.8	3.6	2.8	9.9	20	89.1	74.8	99.99	999.9	16
81.8	73.2	1010.5	1008.8	4.1	4.9	13	22	89.6	75.2	0.2	999.9	16
80.7	73.7	1011.9	1010.1	3.4	4.9	13	999.9	89.6	74.1	0.04	999.9	16
80	74.3	1012.5	1010.7	3.4	5.1	14	20	86	73.9	0.59	999.9	16
79.6	72.1	9999.9	9999.9	2.9	4.8	12	18.1	88.2	74.1	0.24	999.9	16
78.8	71.9	1008.6	1006.8	3.3	3.8	9.9	999.9	84.4	72	0.35	999.9	16
80.3	72.7	1010.4	1008.6	3.9	4.5	12	22	87.8	70.5	0	999.9	0
80.8	71.8	1010.7	1009	3.5	4.7	12	22	87.6	75	0.08	999.9	16
78.7	70.9	1010.5	1008.7	3.8	3.4	14	999.9	87.4	72	0	999.9	0
80.5	72.4	1010.5	1008.8	4.1	5.4	12	999.9	88.3	73.4	0.01	999.9	16
78.8	74.1	1009.5	1007.7	2.9	3.4	12	999.9	86.2	74.7	1.14	999.9	16
80	74.7	1010	1008.2	2.8	5.1	12	999.9	84.2	74.3	0	999.9	16
79.4	72.1	1009.8	1008.1	3.2	4.4	12	18.1	86	73.9	0	999.9	0
80.9	73.3	1008.7	1007.2	4.2	6	12	999.9	87.4	75.7	0	999.9	16
80	75	1011.2	1009.4	3.7	3.6	12	999.9	86.5	75.9	0	999.9	16
80.6	74.9	1012.9	1011.2	3.6	4.5	12	20	86.5	76.3	0.55	999.9	16
79.6	72.7	1012.3	1010.6	3.4	2.7	8	999.9	88.3	74.1	0.2	999.9	0
80	70.4	1012.1	1010.3	4.2	2.8	8.9	999.9	87.8	72.3	0	999.9	0
76.5	70.2	1012.1	1010.4	3.6	2.3	9.9	999.9	87.4	70.3	0	999.9	0
78.2	71.9	1010.6	1008.9	3	4.6	9.9	999.9	87.4	70.5	0	999.9	0
75.8	70.2	1007	1005.2	2.4	8.1	20	29.9	80.1	70.9	0.12	999.9	18
75.9	73.6	1006.9	1005.1	3.2	8.7	20	999.9	79.9	70.5	1.06	999.9	16
80.2	75.2	1009.9	1008.1	4.3	3.7	9.9	999.9	88	71.6	1.26	999.9	0
79.3	75.9	1010.8	1009	3.3	1.6	4.1	999.9	87.3	74.5	0.04	999.9	16
81	74	1012.2	1010.4	3.5	4.4	12	999.9	87.1	74.1	0.12	999.9	16
81	75.2	1012.9	1011.1	4.5	5	14	999.9	88.2	74.5	0.02	999.9	16
76.5	75.1	1012.7	1010.9	2.7	0.6	8	999.9	80.8	74.8	0.71	999.9	16
77	71.1	1012.7	1010.9	2.5	1.7	7	999.9	85.1	71.2	0.16	999.9	0
76.6	68.1	1012.9	1011.2	2.9	3.3	11.1	999.9	87.8	68.7	0	999.9	0
77.8	66.7	1013	1011.3	4.5	5.4	12	20	84.7	68.4	0	999.9	0
75.6	65.1	1013	1011.2	3.5	2.4	12	999.9	84.6	67.3	0	999.9	0
77.8	64.4	1013.2	1011.4	2.6	4.8	15	25.1	86	68.7	0	999.9	0
77.5	68.7	1013.5	1011.7	3.4	3.3	9.9	20	86	68	0	999.9	0
74.9	64.8	9999.9	9999.9	2.8	5.1	16.9	20	86	66.2	0	999.9	0
75.3	63.6	1013.3	1011.5	3.9	2.4	9.9	20	85.3	66.9	0	999.9	0
76.9	60.9	1013.2	1011.5	3.6	3.5	9.9	20	86	65.7	0	999.9	0
73.3	65.9	1012.6	1010.8	3.2	1.6	6	999.9	86	64.6	0	999.9	0
75.8	63.6	1013.4	1011.7	3.4	3.3	9.9	20	85.1	66.2	0	999.9	0
76.3	62.8	1014.2	1012.4	3.4	3.8	12	22	84.9	66.9	0	999.9	0
75.2	63	1014.8	1012.3	3.5	4.5	15	25.1	84.6	65.3	0	999.9	0
74	66	1013.7	1011.9	2.4	1.6	9.9	999.9	82.4	66.2	0	999.9	0
74.7	65.8	1011.6	1010	2.3	3.5	14	999.9	85.3	66.2	0	999.9	0
